Filename,Effective Lines,Number of Functions,Total McCabe,Number of distinct operators (n1),Number of distinct operands (n2),Total number of operators (N1),Total number of operands (N2),Vocabulary,Lenght,Estimated Lenght,Volume,Difficulty,Level,Intelligence,Effort,Time Required,Delivered bugs,Average line volume
arredondar_gs,18,0,2,12,14,21,29,26,50,96.32251891746033,235.02198590705459,12.42857142857143,0.08045977011494251,18.909814958038872,2920.987539130536,162.277085507252,0.06811329367656437,13.056776994836365
decomposicao_gs,24,0,4,17,13,22,28,30,50,117.59258463708997,245.34452978042594,18.307692307692307,0.0546218487394958,13.401171794729148,4491.69216059549,249.53845336641612,0.09074417041944968,10.222688740851082
inverter_gs,16,0,2,12,8,13,16,20,29,67.01955000865388,125.33591475173351,12.0,0.08333333333333333,10.444659562644459,1504.030977020802,83.55727650115567,0.04375724118083098,7.8334946719833445
maior_gs,16,0,3,9,9,15,18,18,33,57.05865002596162,137.6075250475963,9.0,0.1111111111111111,15.289725005288478,1238.4677254283667,68.80376252379816,0.03844163706711276,8.60047031547477
numeros_perfeitos_gs,17,0,4,18,11,20,24,29,44,113.11239783097187,213.75116378561316,19.636363636363633,0.05092592592592594,10.885475933526598,4197.295579790221,233.1830877661234,0.08673448042864579,12.57359786974195
pi_area_gs,19,0,1,11,11,20,28,22,48,76.10749561002054,214.05271769459029,14.0,0.07142857142857142,15.289479835327876,2996.738047724264,166.48544709579244,0.06928585806947819,11.265932510241594
pi_infinita_gs,13,0,1,11,10,15,20,21,35,71.27302875388389,153.73110979725664,11.0,0.09090909090909091,13.97555543611424,1691.042207769823,93.94678932054573,0.047313133330334343,11.825469984404357
somaimpar_gs,19,0,2,15,14,19,29,29,48,111.90632784293425,233.18308776612344,15.535714285714286,0.06436781609195402,15.009486109083808,3622.665827795132,201.2592126552851,0.07862565231675564,12.272794092953864
temperatura_gs,10,0,0,9,10,9,12,19,21,61.74860596185444,89.20647778231529,5.3999999999999995,0.1851851851851852,16.519718107836166,481.7149800245025,26.761943334694582,0.02048356353150683,8.92064777823153
